,Zipcode,City,State,Latitude,Longitude
582,01866,pinehurst,ma,42.446396,-71.459405
583,02360,plymouth,ma,41.95844,-70.66726
584,02361,plymouth,ma,41.970473999999996,-70.701357
585,02362,plymouth,ma,41.970473999999996,-70.701357
586,02367,plympton,ma,41.968987,-70.80452
587,02559,pocasset,ma,41.68622,-70.61614
588,01965,prides crossing,ma,42.55982,-70.82449
590,01541,princeton,ma,42.4487,-71.8773
591,02657,provincetown,ma,42.053354999999996,-70.18947
592,02368,randolph,ma,42.173417,-71.04912
593,01867,reading,ma,42.52585,-71.10993
594,01542,rochdale,ma,42.19454,-71.90591
595,02370,rockland,ma,42.13066,-70.91616
596,01966,rockport,ma,42.65565,-70.62032
597,01969,rowley,ma,42.716708000000004,-70.90899
598,01543,rutland,ma,42.36954,-71.94813
599,02561,sagamore,ma,41.77011,-70.52836
600,02562,sagamore beach,ma,41.79844,-70.52892
602,01970,salem,ma,42.51954,-70.89672
603,01971,salem,ma,42.635443,-70.87912299999999
604,02563,sandwich,ma,41.759,-70.49392
605,02040,greenbush,ma,41.970473999999996,-70.701357
607,02055,minot,ma,41.970473999999996,-70.701357
609,02060,north scituate,ma,41.970473999999996,-70.701357
612,02066,scituate,ma,42.205038,-70.7513
613,02067,sharon,ma,42.1094,-71.1759
614,02070,sheldonville,ma,42.180048,-71.08923
615,01770,sherborn,ma,42.23899,-71.36978
616,01464,shirley,ma,42.5437,-71.64951
619,01545,shrewsbury,ma,42.286643,-71.72502
620,01546,shrewsbury,ma,42.364807,-71.89686800000001
621,01745,fayville,ma,42.29454,-71.50562
623,01772,southborough,ma,42.297643,-71.53369
624,01550,southbridge,ma,42.0751,-72.03341
625,02366,south carver,ma,41.84066,-70.7467
626,02659,south chatham,ma,41.67928,-70.02446
627,02660,south dennis,ma,41.712338,-70.16165
628,02375,south easton,ma,42.029749,-71.10191
629,01560,south grafton,ma,42.177462,-71.69382
630,01982,south hamilton,ma,42.6185,-70.8561
632,02661,south harwich,ma,41.67511,-70.04391
633,01561,south lancaster,ma,42.44454,-71.68701
635,02662,south orleans,ma,41.75067,-69.99113
636,02071,south walpole,ma,42.10427,-71.26117
637,02663,south wellfleet,ma,41.800531,-70.076776
639,02664,south yarmouth,ma,41.670981,-70.19797
642,02673,west yarmouth,ma,41.65011,-70.24113
644,01562,spencer,ma,42.24398,-71.9923
645,01564,sterling,ma,42.436875,-71.77333
